welcome to bug territory, enjoy your stay new
Player 1 : Player 2 : Total     140 : 50 : 190        moving average 500:   28.0% (max - stddev = 26.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     141 : 50 : 191        moving average 500:   28.2% (max - stddev = 26.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     142 : 50 : 192        moving average 500:   28.4% (max - stddev = 26.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     143 : 50 : 193        moving average 500:   28.6% (max - stddev = 26.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     144 : 50 : 194        moving average 500:   28.8% (max - stddev = 26.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 50 : 195        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     145 : 51 : 196        moving average 500:   29.0% (max - stddev = 27.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     146 : 51 : 197        moving average 500:   29.2% (max - stddev = 27.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 51 : 198        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     147 : 52 : 199        moving average 500:   29.4% (max - stddev = 27.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     148 : 52 : 200        moving average 500:   29.6% (max - stddev = 27.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     149 : 52 : 201        moving average 500:   29.8% (max - stddev = 27.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     150 : 52 : 202        moving average 500:   30.0% (max - stddev = 28.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     151 : 52 : 203        moving average 500:   30.2% (max - stddev = 28.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     152 : 52 : 204        moving average 500:   30.4% (max - stddev = 28.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     153 : 52 : 205        moving average 500:   30.6% (max - stddev = 28.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     154 : 52 : 206        moving average 500:   30.8% (max - stddev = 28.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     155 : 52 : 207        moving average 500:   31.0% (max - stddev = 29.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     156 : 52 : 208        moving average 500:   31.2% (max - stddev = 29.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     157 : 52 : 209        moving average 500:   31.4% (max - stddev = 29.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     158 : 52 : 210        moving average 500:   31.6% (max - stddev = 29.60%), std-dev of this is ~2%
Player 1 : Player 2 : Total     159 : 52 : 211        moving average 500:   31.8% (max - stddev = 29.80%), std-dev of this is ~2%
Player 1 : Player 2 : Total     160 : 52 : 212        moving average 500:   32.0% (max - stddev = 30.00%), std-dev of this is ~2%
Player 1 : Player 2 : Total     161 : 52 : 213        moving average 500:   32.2% (max - stddev = 30.20%), std-dev of this is ~2%
Player 1 : Player 2 : Total     162 : 52 : 214        moving average 500:   32.4% (max - stddev = 30.40%), std-dev of this is ~2%
Player 1 : Player 2 : Total     163 : 52 : 215        moving average 500:   32.6% (max - stddev = 30.60%), std-dev of this is ~2%
